field_code,account_number,sign_condition,description
7201,1000,NONE,Koncessioner, patent, licenser, varumärken, hyresrätter, goodwill och liknande rättigheter
7201,1001,NONE,Koncessioner, patent, licenser, varumärken, hyresrätter, goodwill och liknande rättigheter
7201,1002,NONE,Koncessioner, patent, licenser, varumärken, hyresrätter, goodwill och liknande rättigheter
7201,1003,NONE,Koncessioner, patent, licenser, varumärken, hyresrätter, goodwill och liknande rättigheter
7201,1004,NONE,Koncessioner, patent, licenser, varumärken, hyresrätter, goodwill och liknande rättigheter
7201,1005,NONE,Koncessioner, patent, licenser, varumärken, hyresrätter, goodwill och liknande rättigheter
7201,1006,NONE,Koncessioner, patent, licenser, varumärken, hyresrätter, goodwill och liknande rättigheter
7201,1007,NONE,Koncessioner, patent, licenser, varumärken, hyresrätter, goodwill och liknande rättigheter
7201,1008,NONE,Koncessioner, patent, licenser, varumärken, hyresrätter, goodwill och liknande rättigheter
7201,1009,NONE,Koncessioner, patent, licenser, varumärken, hyresrätter, goodwill och liknande rättigheter
7201,1010,NONE,Koncessioner, patent, licenser, varumärken, hyresrätter, goodwill och liknande rättigheter
7201,1011,NONE,Koncessioner, patent, licenser, varumärken, hyresrätter, goodwill och liknande rättigheter
7201,1012,NONE,Koncessioner, patent, licenser, varumärken, hyresrätter, goodwill och liknande rättigheter
7201,1013,NONE,Koncessioner, patent, licenser, varumärken, hyresrätter, goodwill och liknande rättigheter
7201,1014,NONE,Koncessioner, patent, licenser, varumärken, hyresrätter, goodwill och liknande rättigheter
7201,1015,NONE,Koncessioner, patent, licenser, varumärken, hyresrätter, goodwill och liknande rättigheter
7201,1016,NONE,Koncessioner, patent, licenser, varumärken, hyresrätter, goodwill och liknande rättigheter
7201,1017,NONE,Koncessioner, patent, licenser, varumärken, hyresrätter, goodwill och liknande rättigheter
7201,1018,NONE,Koncessioner, patent, licenser, varumärken, hyresrätter, goodwill och liknande rättigheter
7201,1019,NONE,Koncessioner, patent, licenser, varumärken, hyresrätter, goodwill och liknande rättigheter
7201,1020,NONE,Koncessioner, patent, licenser, varumärken, hyresrätter, goodwill och liknande rättigheter
7201,1021,NONE,Koncessioner, patent, licenser, varumärken, hyresrätter, goodwill och liknande rättigheter
7201,1022,NONE,Koncessioner, patent, licenser, varumärken, hyresrätter, goodwill och liknande rättigheter
7201,1023,NONE,Koncessioner, patent, licenser, varumärken, hyresrätter, goodwill och liknande rättigheter
7201,1024,NONE,Koncessioner, patent, licenser, varumärken, hyresrätter, goodwill och liknande rättigheter
7201,1025,NONE,Koncessioner, patent, licenser, varumärken, hyresrätter, goodwill och liknande rättigheter
7201,1026,NONE,Koncessioner, patent, licenser, varumärken, hyresrätter, goodwill och liknande rättigheter
7201,1027,NONE,Koncessioner, patent, licenser, varumärken, hyresrätter, goodwill och liknande rättigheter
7201,1028,NONE,Koncessioner, patent, licenser, varumärken, hyresrätter, goodwill och liknande rättigheter
7201,1029,NONE,Koncessioner, patent, licenser, varumärken, hyresrätter, goodwill och liknande rättigheter
7201,1030,NONE,Koncessioner, patent, licenser, varumärken, hyresrätter, goodwill och liknande rättigheter
7201,1031,NONE,Koncessioner, patent, licenser, varumärken, hyresrätter, goodwill och liknande rättigheter
7201,1032,NONE,Koncessioner, patent, licenser, varumärken, hyresrätter, goodwill och liknande rättigheter
7201,1033,NONE,Koncessioner, patent, licenser, varumärken, hyresrätter, goodwill och liknande rättigheter
7201,1034,NONE,Koncessioner, patent, licenser, varumärken, hyresrätter, goodwill och liknande rättigheter
7201,1035,NONE,Koncessioner, patent, licenser, varumärken, hyresrätter, goodwill och liknande rättigheter
7201,1036,NONE,Koncessioner, patent, licenser, varumärken, hyresrätter, goodwill och liknande rättigheter
7201,1037,NONE,Koncessioner, patent, licenser, varumärken, hyresrätter, goodwill och liknande rättigheter
7201,1038,NONE,Koncessioner, patent, licenser, varumärken, hyresrätter, goodwill och liknande rättigheter
7201,1039,NONE,Koncessioner, patent, licenser, varumärken, hyresrätter, goodwill och liknande rättigheter
7201,1040,NONE,Koncessioner, patent, licenser, varumärken, hyresrätter, goodwill och liknande rättigheter
7201,1041,NONE,Koncessioner, patent, licenser, varumärken, hyresrätter, goodwill och liknande rättigheter
7201,1042,NONE,Koncessioner, patent, licenser, varumärken, hyresrätter, goodwill och liknande rättigheter
7201,1043,NONE,Koncessioner, patent, licenser, varumärken, hyresrätter, goodwill och liknande rättigheter
7201,1044,NONE,Koncessioner, patent, licenser, varumärken, hyresrätter, goodwill och liknande rättigheter
7201,1045,NONE,Koncessioner, patent, licenser, varumärken, hyresrätter, goodwill och liknande rättigheter
7201,1046,NONE,Koncessioner, patent, licenser, varumärken, hyresrätter, goodwill och liknande rättigheter
7201,1047,NONE,Koncessioner, patent, licenser, varumärken, hyresrätter, goodwill och liknande rättigheter
7201,1048,NONE,Koncessioner, patent, licenser, varumärken, hyresrätter, goodwill och liknande rättigheter
7201,1049,NONE,Koncessioner, patent, licenser, varumärken, hyresrätter, goodwill och liknande rättigheter
7201,1050,NONE,Koncessioner, patent, licenser, varumärken, hyresrätter, goodwill och liknande rättigheter
7201,1051,NONE,Koncessioner, patent, licenser, varumärken, hyresrätter, goodwill och liknande rättigheter
7201,1052,NONE,Koncessioner, patent, licenser, varumärken, hyresrätter, goodwill och liknande rättigheter
7201,1053,NONE,Koncessioner, patent, licenser, varumärken, hyresrätter, goodwill och liknande rättigheter
7201,1054,NONE,Koncessioner, patent, licenser, varumärken, hyresrätter, goodwill och liknande rättigheter
7201,1055,NONE,Koncessioner, patent, licenser, varumärken, hyresrätter, goodwill och liknande rättigheter
7201,1056,NONE,Koncessioner, patent, licenser, varumärken, hyresrätter, goodwill och liknande rättigheter
7201,1057,NONE,Koncessioner, patent, licenser, varumärken, hyresrätter, goodwill och liknande rättigheter
7201,1058,NONE,Koncessioner, patent, licenser, varumärken, hyresrätter, goodwill och liknande rättigheter
7201,1059,NONE,Koncessioner, patent, licenser, varumärken, hyresrätter, goodwill och liknande rättigheter
7201,1060,NONE,Koncessioner, patent, licenser, varumärken, hyresrätter, goodwill och liknande rättigheter
7201,1061,NONE,Koncessioner, patent, licenser, varumärken, hyresrätter, goodwill och liknande rättigheter
7201,1062,NONE,Koncessioner, patent, licenser, varumärken, hyresrätter, goodwill och liknande rättigheter
7201,1063,NONE,Koncessioner, patent, licenser, varumärken, hyresrätter, goodwill och liknande rättigheter
7201,1064,NONE,Koncessioner, patent, licenser, varumärken, hyresrätter, goodwill och liknande rättigheter
7201,1065,NONE,Koncessioner, patent, licenser, varumärken, hyresrätter, goodwill och liknande rättigheter
7201,1066,NONE,Koncessioner, patent, licenser, varumärken, hyresrätter, goodwill och liknande rättigheter
7201,1067,NONE,Koncessioner, patent, licenser, varumärken, hyresrätter, goodwill och liknande rättigheter
7201,1068,NONE,Koncessioner, patent, licenser, varumärken, hyresrätter, goodwill och liknande rättigheter
7201,1069,NONE,Koncessioner, patent, licenser, varumärken, hyresrätter, goodwill och liknande rättigheter
7201,1070,NONE,Koncessioner, patent, licenser, varumärken, hyresrätter, goodwill och liknande rättigheter
7201,1071,NONE,Koncessioner, patent, licenser, varumärken, hyresrätter, goodwill och liknande rättigheter
7201,1072,NONE,Koncessioner, patent, licenser, varumärken, hyresrätter, goodwill och liknande rättigheter
7201,1073,NONE,Koncessioner, patent, licenser, varumärken, hyresrätter, goodwill och liknande rättigheter
7201,1074,NONE,Koncessioner, patent, licenser, varumärken, hyresrätter, goodwill och liknande rättigheter
7201,1075,NONE,Koncessioner, patent, licenser, varumärken, hyresrätter, goodwill och liknande rättigheter
7201,1076,NONE,Koncessioner, patent, licenser, varumärken, hyresrätter, goodwill och liknande rättigheter
7201,1077,NONE,Koncessioner, patent, licenser, varumärken, hyresrätter, goodwill och liknande rättigheter
7201,1078,NONE,Koncessioner, patent, licenser, varumärken, hyresrätter, goodwill och liknande rättigheter
7201,1079,NONE,Koncessioner, patent, licenser, varumärken, hyresrätter, goodwill och liknande rättigheter
7201,1080,NONE,Koncessioner, patent, licenser, varumärken, hyresrätter, goodwill och liknande rättigheter
7201,1081,NONE,Koncessioner, patent, licenser, varumärken, hyresrätter, goodwill och liknande rättigheter
7201,1082,NONE,Koncessioner, patent, licenser, varumärken, hyresrätter, goodwill och liknande rättigheter
7201,1083,NONE,Koncessioner, patent, licenser, varumärken, hyresrätter, goodwill och liknande rättigheter
7201,1084,NONE,Koncessioner, patent, licenser, varumärken, hyresrätter, goodwill och liknande rättigheter
7201,1085,NONE,Koncessioner, patent, licenser, varumärken, hyresrätter, goodwill och liknande rättigheter
7201,1086,NONE,Koncessioner, patent, licenser, varumärken, hyresrätter, goodwill och liknande rättigheter
7201,1087,NONE,Koncessioner, patent, licenser, varumärken, hyresrätter, goodwill och liknande rättigheter
7202,1088,NONE,Förskott avseende immateriella anläggningstillgångar
7201,1089,NONE,Koncessioner, patent, licenser, varumärken, hyresrätter, goodwill och liknande rättigheter
