field_code,account_number,sign_condition,description
7200,1000,NONE,Immateriella anläggningstillgångar
7200,1001,NONE,Immateriella anläggningstillgångar
7200,1002,NONE,Immateriella anläggningstillgångar
7200,1003,NONE,Immateriella anläggningstillgångar
7200,1004,NONE,Immateriella anläggningstillgångar
7200,1005,NONE,Immateriella anläggningstillgångar
7200,1006,NONE,Immateriella anläggningstillgångar
7200,1007,NONE,Immateriella anläggningstillgångar
7200,1008,NONE,Immateriella anläggningstillgångar
7200,1009,NONE,Immateriella anläggningstillgångar
7200,1010,NONE,Immateriella anläggningstillgångar
7200,1011,NONE,Immateriella anläggningstillgångar
7200,1012,NONE,Immateriella anläggningstillgångar
7200,1013,NONE,Immateriella anläggningstillgångar
7200,1014,NONE,Immateriella anläggningstillgångar
7200,1015,NONE,Immateriella anläggningstillgångar
7200,1016,NONE,Immateriella anläggningstillgångar
7200,1017,NONE,Immateriella anläggningstillgångar
7200,1018,NONE,Immateriella anläggningstillgångar
7200,1019,NONE,Immateriella anläggningstillgångar
7200,1020,NONE,Immateriella anläggningstillgångar
7200,1021,NONE,Immateriella anläggningstillgångar
7200,1022,NONE,Immateriella anläggningstillgångar
7200,1023,NONE,Immateriella anläggningstillgångar
7200,1024,NONE,Immateriella anläggningstillgångar
7200,1025,NONE,Immateriella anläggningstillgångar
7200,1026,NONE,Immateriella anläggningstillgångar
7200,1027,NONE,Immateriella anläggningstillgångar
7200,1028,NONE,Immateriella anläggningstillgångar
7200,1029,NONE,Immateriella anläggningstillgångar
7200,1030,NONE,Immateriella anläggningstillgångar
7200,1031,NONE,Immateriella anläggningstillgångar
7200,1032,NONE,Immateriella anläggningstillgångar
7200,1033,NONE,Immateriella anläggningstillgångar
7200,1034,NONE,Immateriella anläggningstillgångar
7200,1035,NONE,Immateriella anläggningstillgångar
7200,1036,NONE,Immateriella anläggningstillgångar
7200,1037,NONE,Immateriella anläggningstillgångar
7200,1038,NONE,Immateriella anläggningstillgångar
7200,1039,NONE,Immateriella anläggningstillgångar
7200,1040,NONE,Immateriella anläggningstillgångar
7200,1041,NONE,Immateriella anläggningstillgångar
7200,1042,NONE,Immateriella anläggningstillgångar
7200,1043,NONE,Immateriella anläggningstillgångar
7200,1044,NONE,Immateriella anläggningstillgångar
7200,1045,NONE,Immateriella anläggningstillgångar
7200,1046,NONE,Immateriella anläggningstillgångar
7200,1047,NONE,Immateriella anläggningstillgångar
7200,1048,NONE,Immateriella anläggningstillgångar
7200,1049,NONE,Immateriella anläggningstillgångar
7200,1050,NONE,Immateriella anläggningstillgångar
7200,1051,NONE,Immateriella anläggningstillgångar
7200,1052,NONE,Immateriella anläggningstillgångar
7200,1053,NONE,Immateriella anläggningstillgångar
7200,1054,NONE,Immateriella anläggningstillgångar
7200,1055,NONE,Immateriella anläggningstillgångar
7200,1056,NONE,Immateriella anläggningstillgångar
7200,1057,NONE,Immateriella anläggningstillgångar
7200,1058,NONE,Immateriella anläggningstillgångar
7200,1059,NONE,Immateriella anläggningstillgångar
7200,1060,NONE,Immateriella anläggningstillgångar
7200,1061,NONE,Immateriella anläggningstillgångar
7200,1062,NONE,Immateriella anläggningstillgångar
7200,1063,NONE,Immateriella anläggningstillgångar
7200,1064,NONE,Immateriella anläggningstillgångar
7200,1065,NONE,Immateriella anläggningstillgångar
7200,1066,NONE,Immateriella anläggningstillgångar
7200,1067,NONE,Immateriella anläggningstillgångar
7200,1068,NONE,Immateriella anläggningstillgångar
7200,1069,NONE,Immateriella anläggningstillgångar
7200,1070,NONE,Immateriella anläggningstillgångar
7200,1071,NONE,Immateriella anläggningstillgångar
7200,1072,NONE,Immateriella anläggningstillgångar
7200,1073,NONE,Immateriella anläggningstillgångar
7200,1074,NONE,Immateriella anläggningstillgångar
7200,1075,NONE,Immateriella anläggningstillgångar
7200,1076,NONE,Immateriella anläggningstillgångar
7200,1077,NONE,Immateriella anläggningstillgångar
7200,1078,NONE,Immateriella anläggningstillgångar
7200,1079,NONE,Immateriella anläggningstillgångar
7200,1080,NONE,Immateriella anläggningstillgångar
7200,1081,NONE,Immateriella anläggningstillgångar
7200,1082,NONE,Immateriella anläggningstillgångar
7200,1083,NONE,Immateriella anläggningstillgångar
7200,1084,NONE,Immateriella anläggningstillgångar
7200,1085,NONE,Immateriella anläggningstillgångar
7200,1086,NONE,Immateriella anläggningstillgångar
7200,1087,NONE,Immateriella anläggningstillgångar
7200,1088,NONE,Immateriella anläggningstillgångar
