field_code,account_number,sign_condition,description
7200,1000,NONE,Immateriella anläggningstillgångar
7210,1110,NONE,Byggnader och markanläggningar
7211,1130,NONE,Mark och andra tillgångar som inte får skrivas av
7210,1150,NONE,
7211,1180,NONE,
7212,1220,NONE,Maskiner och inventarier
7212,1230,NONE,
7212,1240,NONE,
7213,1300,NONE,Övriga anläggningstillgångar
7240,1400,NONE,Varulager
7250,1500,NONE,Kundfordringar
7260,1600,NONE,Övriga fordringar
7260,1650,NONE,
7260,1700,NONE,
7280,1910,NONE,Kassa och bank
7280,1920,NONE,
7280,1930,NONE,
7280,1940,NONE,
7280,1970,NONE,
7300,2010,NONE,Eget kapital
7300,2020,NONE,
7300,2021,NONE,
7300,2022,NONE,
7300,2023,NONE,
7300,2024,NONE,
7300,2025,NONE,
7300,2026,NONE,
7300,2027,NONE,
7300,2028,NONE,
7300,2029,NONE,
7300,2030,NONE,
7300,2031,NONE,
7300,2032,NONE,
7300,2033,NONE,
7300,2034,NONE,
7300,2035,NONE,
7300,2036,NONE,
7300,2037,NONE,
7300,2038,NONE,
7300,2039,NONE,
7300,2040,NONE,
7380,2330,NONE,Låneskulder
7380,2350,NONE,
7380,2390,NONE,
7382,2440,NONE,Leverantörsskulder
7381,2610,NONE,Skatteskulder
7381,2620,NONE,
7381,2630,NONE,
7381,2640,NONE,
7381,2650,NONE,
7381,2660,NONE,
7381,2710,NONE,
7381,2730,NONE,
7383,2900,NONE,Övriga skulder
7400,3000,NONE,Försäljning och utfört arbete samt övriga momspliktiga intäkter
7401,3100,NONE,Momsfria intäkter
7402,3200,NONE,Bil- och bostadsförmån m.m.
7400,3500,NONE,
7400,3700,NONE,
7401,3700,NONE,
7400,3900,NONE,
7401,3900,NONE,
7401,3970,NONE,
7401,3980,NONE,
7500,4000,NONE,Varor, material och tjänster
7500,4600,NONE,
7500,4700,NONE,
7500,4900,NONE,
7501,5000,NONE,Övriga externa kostnader
7501,5100,NONE,
7501,5200,NONE,
7501,5400,NONE,
7501,5500,NONE,
7501,5600,NONE,
7501,5610,NONE,
7501,5620,NONE,
7501,5700,NONE,
7501,5800,NONE,
7501,5900,NONE,
7501,6000,NONE,
7501,6070,NONE,
7501,6100,NONE,
7501,6200,NONE,
7501,6300,NONE,
7501,6310,NONE,
7501,6500,NONE,
7501,6800,NONE,
7501,6900,NONE,
7501,6980,NONE,
7502,7000,NONE,Anställd personal
7502,7300,NONE,
7502,7400,NONE,
7502,7500,NONE,
7502,7600,NONE,
7504,7700,NONE,Avskrivningar och nedskrivningar byggnader och markanläggningar
7505,7810,NONE,Avskrivningar och nedskrivningar maskiner och inventarier och immateriella tillgångar
7504,7820,NONE,
7505,7830,NONE,
7504,7980,NONE,
7505,7980,NONE,
7403,8310,NONE,Ränteintäkter m.m.
7403,8330,NONE,
7503,8410,NONE,Räntekostnader m.m.
7503,8430,NONE,
7440,8990,NONE,Bokfört resultat
